username,service_name,amount,response_code,timestamp
123,HELO,,401 ERROR!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:1000.0,
2023078820230789,BALA,,AMNT:1000.0,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,401 ERROR!,
2023078820230789,PASS,,401 ERROR!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:1000.0,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BYE,,BYE,
user1,HELO,,401 ERROR!,
123,HELO,,401 ERROR!,
user1,HELO,,401 ERROR!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
user1,HELO,,401 ERROR!,
user1,HELO,,401 ERROR!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,WDRA,,401 ERROR!,
unknown,HELO,,401 ERROR!,
unknown,HELO,,401 ERROR!,
unknown,HELO,,401 ERROR!,
1,HELO,,401 ERROR!,
,PASS,,401 ERROR!,
,BALA,,401 ERROR!,
user1,HELO,,401 ERROR!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
,BALA,,401 ERROR!,
,BALA,,401 ERROR!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,BALA,,AMNT:10000.0,
2023078820230789,HELO,,500 AUTH REQUIRED!,
2023078820230789,PASS,,525 OK!,
,Unknown,,401 sp ERROR! Unknown command,2025-04-20 08:28:24
2023078820230789,PASS,,525 OK!,2025-04-20 08:33:35
2023078820230789,BALA,,AMNT:10000.0,2025-04-20 08:33:37
2023078820230789,BALA,,AMNT:10000.0,2025-04-20 08:33:39
,BYE,,BYE,2025-04-20 08:34:26
2023078820230789,PASS,,525 OK!,2025-04-20 08:34:42
2023078820230789,BYE,,BYE,2025-04-20 08:34:44
2023078820230789,PASS,,525 OK!,2025-04-20 08:46:46
2023078820230789,BALA,,AMNT:10000.0,2025-04-20 08:46:51
2023078820230789,withdraw,1,525 OK,2025-04-20 08:46:57
2023078820230789,BALA,,AMNT:9999.0,2025-04-20 08:47:17
2023078820230789,BYE,,BYE,2025-04-20 08:47:19
2023078820230789,PASS,,525 OK!,2025-04-20 08:59:44
2023078820230789,BALA,,AMNT:9999.0,2025-04-20 08:59:49
2023078820230789,withdraw,1,525 OK,2025-04-20 08:59:54
2023078820230789,BYE,,BYE,2025-04-20 08:59:59
2023078820230789,PASS,,525 OK!,2025-04-20 09:12:49
2023078820230789,BALA,,AMNT:9998.0,2025-04-20 09:12:53
2023078820230789,withdraw,1,525 OK,2025-04-20 09:13:04
2023078820230789,WDRA,,525 OK！,2025-04-20 09:13:04
2023078820230789,BYE,,BYE,2025-04-20 09:13:25
2023078820230789,PASS,,525 OK!,2025-05-06 12:31:28
2023078820230789,BALA,,AMNT:9997.0,2025-05-06 12:31:28
2023078820230789,withdraw,3000,525 OK,2025-05-06 12:31:40
2023078820230789,WDRA,,525 OK,2025-05-06 12:31:40
2023078820230789,withdraw,30,525 OK,2025-05-06 12:31:47
2023078820230789,WDRA,,525 OK,2025-05-06 12:31:47
2023078820230789,withdraw,1,525 OK,2025-05-06 12:32:06
2023078820230789,WDRA,,525 OK,2025-05-06 12:32:06
2023078820230789,withdraw,100,525 OK,2025-05-06 12:32:48
2023078820230789,WDRA,,525 OK,2025-05-06 12:32:48
2023078820230789,BALA,,AMNT:6866.0,2025-05-06 12:33:06
2023078820230789,BALA,,AMNT:6866.0,2025-05-06 12:33:14
2023078820230789,BALA,,AMNT:6866.0,2025-05-06 12:33:15
2023078820230789,PASS,,525 OK!,2025-05-06 12:36:13
2023078820230789,BALA,,AMNT:6866.0,2025-05-06 12:36:13
2023078820230789,withdraw,2000,525 OK,2025-05-06 12:36:41
2023078820230789,WDRA,,525 OK,2025-05-06 12:36:41
2023078820230789,BALA,,AMNT:4866.0,2025-05-06 12:36:43
2023078820230789,BYE,,BYE,2025-05-06 12:36:54
,BYE,,BYE,2025-05-11 07:13:53
11111,HELO,,401 ERROR!,2025-05-11 07:14:07
,BYE,,BYE,2025-05-11 07:14:46
,BYE,,BYE,2025-05-11 07:14:55
2023078820230789,PASS,,525 OK!,2025-05-11 07:18:21
2023078820230789,BALA,,AMNT:4866.0,2025-05-11 07:18:22
2023078820230789,withdraw,500,525 OK,2025-05-11 07:18:31
2023078820230789,WDRA,,525 OK,2025-05-11 07:18:31
2023078820230789,BALA,,AMNT:4366.0,2025-05-11 07:18:33
2023078820230789,withdraw,3000,525 OK,2025-05-11 07:18:36
2023078820230789,WDRA,,525 OK,2025-05-11 07:18:36
2023078820230789,BALA,,AMNT:1366.0,2025-05-11 07:18:38
2023078820230789,PASS,,525 OK!,2025-05-11 07:19:10
2023078820230789,BALA,,AMNT:1366.0,2025-05-11 07:19:11
2023078820230789,PASS,,525 OK!,2025-05-11 07:21:44
2023078820230789,BALA,,AMNT:1366.0,2025-05-11 07:21:46
2023078820230789,PASS,,525 OK!,2025-05-11 07:28:09
2023078820230789,BALA,,AMNT:1366.0,2025-05-11 07:28:10
2023078820230789,withdraw,200,525 OK,2025-05-11 07:28:14
2023078820230789,WDRA,,525 OK,2025-05-11 07:28:14
2023078820230789,BALA,,AMNT:1166.0,2025-05-11 07:28:16
2023078820230789,WDRA,,401 ERROR!,2025-05-11 07:28:21
2023078820230789,withdraw,500,525 OK,2025-05-11 07:28:24
2023078820230789,WDRA,,525 OK,2025-05-11 07:28:24
2023078820230789,BALA,,AMNT:666.0,2025-05-11 07:28:26
2023078820230789,BYE,,BYE,2025-05-11 07:28:29
2023078820230789,PASS,,525 OK!,2025-05-11 07:29:37
2023078820230789,BALA,,AMNT:666.0,2025-05-11 07:29:39
2023078820230789,WDRA,,401 ERROR!,2025-05-11 07:29:43
2023078820230789,PASS,,525 OK!,2025-05-11 07:30:12
2023078820230789,BALA,,AMNT:666.0,2025-05-11 07:30:13
2023078820230789,withdraw,200,525 OK,2025-05-11 07:30:18
2023078820230789,WDRA,,525 OK,2025-05-11 07:30:18
2023078820230789,BALA,,AMNT:466.0,2025-05-11 07:30:20
2023078820230789,withdraw,100,525 OK,2025-05-11 07:30:23
2023078820230789,WDRA,,525 OK,2025-05-11 07:30:23
2023078820230789,BALA,,AMNT:366.0,2025-05-11 07:30:25
2023078820230789,WDRA,,401 ERROR!,2025-05-11 07:30:28
2023078820230789,BYE,,BYE,2025-05-11 07:30:33
2023078820230789,PASS,,525 OK!,2025-05-11 07:31:12
2023078820230789,BALA,,AMNT:366.0,2025-05-11 07:31:13
2023078820230789,withdraw,200,525 OK,2025-05-11 07:31:41
2023078820230789,WDRA,,525 OK,2025-05-11 07:31:41
2023078820230789,BALA,,AMNT:166.0,2025-05-11 07:31:52
2023078820230789,WDRA,,401 ERROR!,2025-05-11 07:32:07
2023078820230789,WDRA,,401 ERROR!,2025-05-11 07:32:22
2023078820230789,BYE,,BYE,2025-05-11 07:32:31
2023078820230789,PASS,,525 OK!,2025-05-11 12:04:36
2023078820230789,BALA,,AMNT:166.0,2025-05-11 12:04:51
2023078820230789,PASS,,525 OK!,2025-05-11 12:05:56
2023078820230789,BALA,,AMNT:166.0,2025-05-11 12:06:02
2023078820230789,withdraw,1,525 OK,2025-05-11 12:06:21
2023078820230789,WDRA,,525 OK,2025-05-11 12:06:21
2023078820230789,BALA,,AMNT:165.0,2025-05-11 12:06:29
2023078820230789,BYE,,BYE,2025-05-11 12:06:40
user1,HELO,,401 ERROR!,2025-05-17 11:56:30
2023078820230789,PASS,,525 OK!,2025-05-17 13:09:01
2023078820230789,BALA,,AMNT:165.0,2025-05-17 13:09:09
2023078820230789,PASS,,525 OK!,2025-05-17 13:10:34
2023078820230789,withdraw,1,525 OK,2025-05-17 13:10:41
2023078820230789,WDRA,,525 OK,2025-05-17 13:10:41
2023078820230789,PASS,,525 OK!,2025-05-17 13:13:00
2023078820230789,BALA,,AMNT:164.0,2025-05-17 13:13:23
2023078820230789,withdraw,1,525 OK,2025-05-17 13:13:43
2023078820230789,WDRA,,525 OK,2025-05-17 13:13:43
2023078820230789,BALA,,AMNT:163.0,2025-05-17 13:14:27
